,equity
2008-07-01,137372.4384888458
2008-07-02,129689.62144834867
2008-07-03,125353.21586832033
2008-07-07,126539.63354015404
2008-07-08,132431.34907280645
2008-07-09,127717.76915687438
2008-07-10,126806.6495554689
2008-07-11,127538.0442412715
2008-07-14,126014.52204169244
2008-07-15,127725.63790627781
2008-07-16,137153.6362806379
2008-07-17,141029.84140293035
2008-07-18,108713.11468312888
2008-07-21,107840.2644448908
2008-07-22,109598.97152315683
2008-07-23,110971.11131180363
2008-07-24,112372.97291371794
2008-07-25,111215.18531401662
2008-07-28,110158.65339588803
2008-07-29,111885.82068238435
2008-07-30,111557.72947197671
2008-07-31,111631.82304189813
2008-08-01,112923.43420797396
2008-08-04,113585.35923634161
2008-08-05,115454.9385696894
2008-08-06,116641.38361461382
2008-08-07,115289.38407154554
2008-08-08,115289.38407154554
2008-08-11,115900.61582372132
2008-08-12,115934.21207213361
2008-08-13,116788.14617030999
2008-08-14,116954.49318720135
2008-08-15,116274.53006579606
2008-08-18,116022.29847050592
2008-08-19,114684.96106042674
2008-08-20,113868.61261687336
2008-08-21,112257.00935262148
2008-08-22,116512.88874943367
2008-08-25,114738.15016019352
2008-08-26,114365.95496187864
2008-08-27,116563.37461005547
2008-08-28,117651.89330055282
2008-08-29,117889.54690734862
2008-09-02,117665.10990169531
2008-09-03,117148.03486079682
2008-09-04,116225.25616969974
2008-09-05,117060.91350795054
2008-09-08,119072.54693298692
2008-09-09,116958.40132380575
2008-09-10,117666.5496790195
2008-09-11,117143.55922646061
2008-09-12,116984.9059299325
2008-09-15,114559.1331620381
2008-09-16,116065.39398676506
2008-09-17,113602.897284246
2008-09-18,123661.0785957914
2008-09-19,128197.98951307315
2008-09-22,127500.62563954433
2008-09-23,122731.94271565566
2008-09-24,123668.33097160583
2008-09-25,126168.14607189225
2008-09-26,124452.29861580399
2008-09-29,118181.92897139466
2008-09-30,123446.9933590258
2008-10-01,122748.66460735485
2008-10-02,119569.0702704441
2008-10-03,116158.6461236013
2008-10-06,116426.83189388913
2008-10-07,110655.01836285568
2008-10-08,112654.66999620387
2008-10-09,109713.49074210781
2008-10-10,109768.89973057348
2008-10-13,113995.37834781711
2008-10-14,112355.02520245174
2008-10-15,109404.50731038432
2008-10-16,111821.5108953957
2008-10-17,111361.55026203173
2008-10-20,113771.92087165399
2008-10-21,113031.67457346502
2008-10-22,111087.927932133
2008-10-23,115760.8113145045
2008-10-24,116926.00919186223
2008-10-27,115213.82585714135
2008-10-28,119058.23425189679
2008-10-29,118304.41189079099
2008-10-30,119428.0859188926
2008-10-31,119000.96512180123
2008-11-03,120116.89509203691
2008-11-04,119469.65581107445
2008-11-05,118701.46972949695
2008-11-06,116749.10091267501
2008-11-07,118384.88782388702
2008-11-10,118323.03875027465
2008-11-11,118081.99993948647
2008-11-12,116035.89186490988
2008-11-13,119013.16877651971
2008-11-14,118079.75398549186
2008-11-17,116578.37356180276
2008-11-18,116773.8150994754
2008-11-19,114616.65174301858
2008-11-20,111744.47165418639
2008-11-21,115850.69027803585
2008-11-24,116710.41317584933
2008-11-25,115879.22106781442
2008-11-26,116650.2449774283
2008-11-28,116354.51094602882
2008-12-01,115689.6593865126
2008-12-02,115576.44230913608
2008-12-03,118084.61301487294
2008-12-04,117100.84531998284
2008-12-05,118032.6013286235
2008-12-08,118755.75311509323
2008-12-09,118558.06326731185
2008-12-10,118645.45274870707
2008-12-11,117868.9778183807
2008-12-12,118780.64323608586
2008-12-15,118344.12987541924
2008-12-16,120157.68899856259
2008-12-17,119108.11965714251
2008-12-18,118668.05264974406
2008-12-19,118452.99092101143
2008-12-22,117657.1793359989
2008-12-23,117937.12610115246
2008-12-24,117662.58099264084
2008-12-26,117926.4443385326
2008-12-29,117268.25473600281
2008-12-30,118344.89958131469
2008-12-31,118583.77565266062
2009-01-02,120453.22810797358
2009-01-05,121437.96650788454
2009-01-06,119472.61020568322
2009-01-07,119261.94138654621
2009-01-08,120865.07577608891
2009-01-09,118573.12479140025
2009-01-12,121357.56005205003
2009-01-13,120532.35664294857
