,equity
2008-03-19,131076.2284938682
2008-03-20,133284.41342632458
2008-03-24,139651.1534649556
2008-03-25,139361.77979965074
2008-03-26,138927.57289887752
2008-03-27,138400.3323382059
2008-03-28,138614.18226102207
2008-03-31,136825.05560126973
2008-04-01,140161.56539750146
2008-04-02,139009.86478994353
2008-04-03,140064.35771371578
2008-04-04,144402.38161007836
2008-04-07,148137.04165478077
2008-04-08,146921.54440325368
2008-04-09,141663.38112735894
2008-04-10,144765.02736523407
2008-04-11,142019.2945431894
2008-04-14,140083.09587158175
2008-04-15,141441.33939419404
2008-04-16,148860.80492104407
2008-04-17,146029.251666364
2008-04-18,149885.23881755874
2008-04-21,149714.56154898013
2008-04-22,147723.27154350906
2008-04-23,143263.0637831257
2008-04-24,140611.34527728375
2008-04-25,146767.5454427547
2008-04-28,145364.65693596186
2008-04-29,140502.46006502476
2008-04-30,141220.58439286047
2008-05-01,138866.02206080087
2008-05-02,141452.83852525338
2008-05-05,145739.59161946573
2008-05-06,146740.04529984025
2008-05-07,142576.54897671824
2008-05-08,145114.284211378
2008-05-09,140334.78319259288
2008-05-12,141131.53312571195
2008-05-13,143868.94291706916
2008-05-14,140309.3808641968
2008-05-15,145666.7433423897
2008-05-16,149894.9125649344
2008-05-19,149460.44697285906
2008-05-20,149678.53011257455
2008-05-21,146690.53132644563
2008-05-22,148170.02822304354
2008-05-23,144163.8407535394
2008-05-27,141706.02517953952
2008-05-28,143988.56994283415
2008-05-29,139530.2245766993
2008-05-30,144752.7547435606
2008-06-02,142814.51358122818
2008-06-03,143604.0295004444
2008-06-04,145264.40345309416
2008-06-05,150438.57194773477
2008-06-06,150214.92099280894
2008-06-09,152904.02666257625
2008-06-10,149491.4854991247
2008-06-11,147461.35085462948
2008-06-12,146566.11081954537
2008-06-13,154467.29053490958
2008-06-16,151966.33963870633
2008-06-17,151091.32674052703
2008-06-18,147710.6069486049
2008-06-19,148186.148780567
2008-06-20,143716.09402846356
2008-06-23,147726.94251125204
2008-06-24,145548.9395154534
2008-06-25,149788.4851999566
2008-06-26,143010.7605579269
2008-06-27,141181.4995567688
2008-06-30,142059.90699770686
2008-07-01,143772.84089093792
2008-07-02,135209.52372711975
2008-07-03,130394.74595744023
2008-07-07,131709.08228323978
2008-07-08,138240.0150482454
2008-07-09,132999.932415838
2008-07-10,131989.47089991556
2008-07-11,132800.23283803894
2008-07-14,131110.75631173459
2008-07-15,133006.76985691098
2008-07-16,143462.6225668297
2008-07-17,147780.62101757602
2008-07-18,111716.26952367068
2008-07-21,110761.01629789556
2008-07-22,112684.74485063691
2008-07-23,114187.19923916369
2008-07-24,115723.43162877673
2008-07-25,114453.63953550496
2008-07-28,113295.68253924085
2008-07-29,115187.47476779076
2008-07-30,114827.75103356935
2008-07-31,114908.97272031265
2008-08-01,116324.90345057282
2008-08-04,117051.07916016417
2008-08-05,119102.90859832142
2008-08-06,120406.38079342274
2008-08-07,118920.0424679261
2008-08-08,118920.0424679261
2008-08-11,119591.49595736372
2008-08-12,119628.41493197336
2008-08-13,120566.82223920773
2008-08-14,120749.71156478586
2008-08-15,120002.06069777717
2008-08-18,119724.82580523333
2008-08-19,118255.1280386698
2008-08-20,117358.66296946513
2008-08-21,115589.72113074559
2008-08-22,120256.73780028106
2008-08-25,118305.93157518817
2008-08-26,117897.2230153129
2008-08-27,120309.70517332322
2008-08-28,121506.2217853585
2008-08-29,121767.61138157142
2008-09-02,121520.72607366422
2008-09-03,120952.0034331646
2008-09-04,119937.3449108471
2008-09-05,120855.73342029784
2008-09-08,123067.5468170744
2008-09-09,120740.4680282576
2008-09-10,121519.02423991583
2008-09-11,120943.8104261318
2008-09-12,120769.36538677268
2008-09-15,118102.37554213621
2008-09-16,119756.13898365763
2008-09-17,117050.2187822225
2008-09-18,128087.10521905651
2008-09-19,133091.79225134692
2008-09-22,132320.75777792733
2008-09-23,127050.17787433184
2008-09-24,128082.5063774436
2008-09-25,130839.80304964313
2008-09-26,128944.78597681424
2008-09-29,122025.86614371168
2008-09-30,127815.46938839126
2008-10-01,127045.44032470194
2008-10-02,123540.68008586558
2008-10-03,119787.98030642011
2008-10-06,120082.5185709263
2008-10-07,113742.60566621488
2008-10-08,115931.63051926933
2008-10-09,112708.19839310201
2008-10-10,112768.81895926397
2008-10-13,117392.97721433063
2008-10-14,115593.9550250417
2008-10-15,112361.10791585234
2008-10-16,115004.74834189929
2008-10-17,114500.95158095541
2008-10-20,117140.33171015399
2008-10-21,116328.63853408003
2008-10-22,114198.19302234861
2008-10-23,119314.08776360986
2008-10-24,120593.09835161186
2008-10-27,118712.45742191719
2008-10-28,122931.02980814023
2008-10-29,122102.10451747221
2008-10-30,123337.21794475938
2008-10-31,122867.4507492169
2008-11-03,124094.51582947763
2008-11-04,123382.38850546369
2008-11-05,122537.48660577036
2008-11-06,120391.04525646313
2008-11-07,122187.48088947193
2008-11-10,122119.49669830973
2008-11-11,121854.55704797311
2008-11-12,119605.86007072235
2008-11-13,122874.17302215357
2008-11-14,121847.84884556802
2008-11-17,120197.87345307639
2008-11-18,120412.47851164624
2008-11-19,118043.54237645218
2008-11-20,114893.25280728085
2008-11-21,119389.54823638436
2008-11-24,120333.11029359307
2008-11-25,119420.42460965514
2008-11-26,120266.64830365333
2008-11-28,119941.93121249968
2008-12-01,119212.04225104774
2008-12-02,119087.79642238565
2008-12-03,121840.11892115789
2008-12-04,120759.09861418401
2008-12-05,121782.4065126338
2008-12-08,122577.02072442597
2008-12-09,122359.70904807467
2008-12-10,122455.76201701841
2008-12-11,121602.26922574686
2008-12-12,122603.93292444265
2008-12-15,122124.08837975761
2008-12-16,124117.19542407962
2008-12-17,122962.58409478138
2008-12-18,122478.7519545616
2008-12-19,122242.35909138844
2008-12-22,121367.71726850896
2008-12-23,121675.25931233633
2008-12-24,121373.60485850746
2008-12-26,121663.47884093213
2008-12-29,120940.30229024084
2008-12-30,122122.81916024078
2008-12-31,122385.34026022619
2009-01-02,124440.10848831132
2009-01-05,125523.55407003092
2009-01-06,123360.05691506587
2009-01-07,123128.39707001788
2009-01-08,124891.06528475267
2009-01-09,122368.86158341556
2009-01-12,125429.17616172231
2009-01-13,124520.86000617273
