date,equity
2008-08-18,68514.30461717356
2008-08-19,67665.08283379111
2008-08-20,67780.19473793247
2008-08-21,67463.59523379913
2008-08-22,68355.92132961767
2008-08-25,66916.60485040465
2008-08-26,66830.22915455402
2008-08-27,67262.10763380714
2008-08-28,67809.09801720164
2008-08-29,66383.98257115553
2008-09-02,65563.66406704225
2008-09-03,64944.666091942505
2008-09-04,62843.24732519364
2008-09-05,62540.84885422724
2008-09-08,62339.36125423525
2008-09-09,61101.53237501421
2008-09-10,61605.25137499415
2008-09-11,62756.87162934301
2008-09-12,62512.112645936504
2008-09-15,60568.91009576508
2008-09-16,61043.89288745431
2008-09-17,57877.39663318565
2008-09-18,59834.80021652399
2008-09-19,61791.0343030133
2008-09-22,58881.49321357686
2008-09-23,58434.912488221504
2008-09-24,58838.22183016233
2008-09-25,59774.487593309146
2008-09-26,59169.5235803979
2008-09-29,54473.99373149689
2008-09-30,56043.95971584568
2008-10-01,55453.363807079804
2008-10-02,52932.76395543883
2008-10-03,52111.77716741181
2008-10-06,50210.50943282744
2008-10-07,47027.47315169377
2008-10-08,46652.90001804367
2008-10-09,45399.867679785086
2008-10-10,45111.67024198561
2008-10-13,50599.450670622915
2008-10-14,48410.152569217506
2008-10-15,44074.6606788428
2008-10-16,46465.61345121862
2008-10-17,46523.25293877851
2008-10-20,47819.55666045163
2008-10-21,45342.22819222519
2008-10-22,44089.02878298816
2008-10-23,43916.277391286916
2008-10-24,42504.694694494014
2008-10-27,41323.66994794069
2008-10-28,45889.55271757654
2008-10-29,45774.273742456746
2008-10-30,47301.13541436944
2008-10-31,47373.1430060747
2008-11-03,47272.232135100276
2008-11-04,48611.80724018792
2008-11-05,46076.83928440159
2008-11-06,44017.0211912829
2008-11-07,44924.55074613899
2008-11-10,44319.58673322775
2008-11-11,43354.584761790196
2008-11-12,41352.40615623142
2008-11-13,43873.00600787239
2008-11-14,41741.34739402688
2008-11-17,40862.72111843996
2008-11-18,40819.44973502543
2008-11-19,38687.79112117993
2008-11-20,36815.25959488629
2008-11-21,38414.12885850425
2008-11-24,40761.81024746554
2008-11-25,40574.690751618924
2008-11-26,42274.303815232866
2008-11-28,41943.0020649973
2008-12-01,38788.53492117591
2008-12-02,40084.83864284903
2008-12-03,41222.75907696626
2008-12-04,40056.1024345583
2008-12-05,41683.70790646699
2008-12-08,43325.68148252104
2008-12-09,43224.937682525044
2008-12-10,43080.922499114524
2008-12-11,41899.73068158276
2008-12-12,42749.62074887896
2008-12-15,42000.64155255719
2008-12-16,44017.0211912829
2008-12-17,43484.064770076926
2008-12-18,42720.71746960979
2008-12-19,43071.90066627906
2008-12-22,42134.29833530477
2008-12-23,41917.94141823213
2008-12-24,42033.38746433035
2008-12-26,42019.01936018498
2008-12-29,41672.681221890314
2008-12-30,42538.27596115934
2008-12-31,42898.81513262094
2009-01-02,44759.651690424165
2009-01-05,44745.11651530036
2009-01-06,45192.36552456946
2009-01-07,43908.592126278934
2009-01-08,44370.209239693395
2009-01-09,43374.80035018077
2009-01-12,42581.547344573875
